Entry,Index,NAME,ano(ANO1)
search2|HEHDIJ|544,545,HEHDIJ,29.0
search2|HELNER|545,546,HELNER,25.0
search2|HELNER|546,547,HELNER,25.0
search2|HERDAJ|547,548,HERDAJ,29.0
search2|HERDAJ01|548,549,HERDAJ01,29.0
search2|HETPUS|549,550,HETPUS,29.0
search2|HETZEM|550,551,HETZEM,82.0
search2|HETZEM|551,552,HETZEM,29.0
search2|HETZIQ|552,553,HETZIQ,29.0
search2|HETZIQ|553,554,HETZIQ,25.0
search2|HETZIQ|554,555,HETZIQ,29.0
search2|HETZIQ|555,556,HETZIQ,25.0
search2|HEWBES|556,557,HEWBES,28.0
search2|HEWBIW|557,558,HEWBIW,28.0
search2|HIMSUT|558,559,HIMSUT,48.0
search2|HIQJAU|559,560,HIQJAU,29.0
search2|HIQJEY|560,561,HIQJEY,29.0
search2|HISTOT|561,562,HISTOT,27.0
search2|HIWLII|562,563,HIWLII,57.0
search2|HIWLII|563,564,HIWLII,28.0
